D_PROVINCIA;D_MUNICIPIO;D_ESTACION;F_FECHA;D_HORA;'PM10';'PM25';'NO2';'O3';'SO2'
ALMERIA                                                                                                                                                                                                                                                   ;ALMERÍA                                                                                                                                                                                                                                                   ;EL BOTICARIO                                                                                                                                                                                                                                              ;2023/01/01 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;9.0;23.75;3.0
ALMERIA                                                                                                                                                                                                                                                   ;ALMERÍA                                                                                                                                                                                                                                                   ;MEDITERRÁNEO                                                                                                                                                                                                                                              ;2023/01/01 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;43.656;14.368;35.0;10.25;
ALMERIA                                                                                                                                                                                                                                                   ;BÉDAR                                                                                                                                                                                                                                                     ;BÉDAR                                                                                                                                                                                                                                                     ;2023/01/01 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;30.599;;3.0;64.375;4.0
ALMERIA                                                                                                                                                                                                                                                   ;BENAHADUX                                                                                                                                                                                                                                                 ;BENAHADUX                                                                                                                                                                                                                                                 ;2023/01/01 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;44.0;16.5;1.0
ALMERIA                                                                                                                                                                                                                                                   ;CARBONERAS                                                                                                                                                                                                                                                ;PZA. DEL CASTILLO                                                                                                                                                                                                                                         ;2023/01/01 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;34.41;;6.0;;6.0
ALMERIA                                                                                                                                                                                                                                                   ;CUEVAS DEL ALMANZORA                                                                                                                                                                                                                                      ;PALOMARES                                                                                                                                                                                                                                                 ;2023/01/01 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;8.0;;2.0
ALMERIA                                                                                                                                                                                                                                                   ;EJIDO, EL                                                                                                                                                                                                                                                 ;EL EJIDO                                                                                                                                                                                                                                                  ;2023/01/01 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;45.597;;39.0;14.375;3.0
ALMERIA                                                                                                                                                                                                                                                   ;NÍJAR                                                                                                                                                                                                                                                     ;LA GRANATILLA                                                                                                                                                                                                                                             ;2023/01/01 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;6.0;10.625;3.0
ALMERIA                                                                                                                                                                                                                                                   ;NÍJAR                                                                                                                                                                                                                                                     ;LA JOYA                                                                                                                                                                                                                                                   ;2023/01/01 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;3.0;44.0;2.0
ALMERIA                                                                                                                                                                                                                                                   ;NÍJAR                                                                                                                                                                                                                                                     ;RODALQUILAR                                                                                                                                                                                                                                               ;2023/01/01 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;14.0;41.0;10.0
ALMERIA                                                                                                                                                                                                                                                   ;ALMERÍA                                                                                                                                                                                                                                                   ;EL BOTICARIO                                                                                                                                                                                                                                              ;2023/01/01 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;;7.0;22.5;3.0
ALMERIA                                                                                                                                                                                                                                                   ;ALMERÍA                                                                                                                                                                                                                                                   ;MEDITERRÁNEO                                                                                                                                                                                                                                              ;2023/01/01 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;42.356;15.078;34.0;8.375;
ALMERIA                                                                                                                                                                                                                                                   ;BÉDAR                                                                                                                                                                                                                                                     ;BÉDAR                                                                                                                                                                                                                                                     ;2023/01/01 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;30.788;;3.0;65.125;4.0
ALMERIA                                                                                                                                                                                                                                                   ;BENAHADUX                                                                                                                                                                                                                                                 ;BENAHADUX                                                                                                                                                                                                                                                 ;2023/01/01 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;;39.0;13.125;2.0
ALMERIA                                                                                                                                                                                                                                                   ;CARBONERAS                                                                                                                                                                                                                                                ;PZA. DEL CASTILLO                                                                                                                                                                                                                                         ;2023/01/01 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;34.772;;7.0;;6.0
