D_PROVINCIA;D_MUNICIPIO;D_ESTACION;F_FECHA;D_HORA;'PM10';'PM25';'NO2';'O3';'SO2'
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;ASOMADILLA                                                                                                                                                                                                                                                ;2023/02/03 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;29.839;;16.0;57.75;3.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;AVDA. AL-NASIR                                                                                                                                                                                                                                            ;2023/02/03 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;53.505;;55.0;;5.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;LEPANTO                                                                                                                                                                                                                                                   ;2023/02/03 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;36.855;24.557;46.0;29.625;3.0
CORDOBA                                                                                                                                                                                                                                                   ;ESPIEL                                                                                                                                                                                                                                                    ;POBLADO                                                                                                                                                                                                                                                   ;2023/02/03 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;9.359;;;;
CORDOBA                                                                                                                                                                                                                                                   ;OBEJO                                                                                                                                                                                                                                                     ;OBEJO                                                                                                                                                                                                                                                     ;2023/02/03 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;;;
CORDOBA                                                                                                                                                                                                                                                   ;VILLAHARTA                                                                                                                                                                                                                                                ;VILLAHARTA                                                                                                                                                                                                                                                ;2023/02/03 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;8.226;;;
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;ASOMADILLA                                                                                                                                                                                                                                                ;2023/02/03 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;30.338;;10.0;53.875;2.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;AVDA. AL-NASIR                                                                                                                                                                                                                                            ;2023/02/03 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;54.63;;47.0;;4.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;LEPANTO                                                                                                                                                                                                                                                   ;2023/02/03 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;36.9;24.336;41.0;19.875;3.0
CORDOBA                                                                                                                                                                                                                                                   ;ESPIEL                                                                                                                                                                                                                                                    ;POBLADO                                                                                                                                                                                                                                                   ;2023/02/03 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;9.498;;4.0;;4.0
CORDOBA                                                                                                                                                                                                                                                   ;OBEJO                                                                                                                                                                                                                                                     ;OBEJO                                                                                                                                                                                                                                                     ;2023/02/03 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;;;;
CORDOBA                                                                                                                                                                                                                                                   ;VILLAHARTA                                                                                                                                                                                                                                                ;VILLAHARTA                                                                                                                                                                                                                                                ;2023/02/03 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;8.303;3.0;;6.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;ASOMADILLA                                                                                                                                                                                                                                                ;2023/02/03 00:00:00.000000000;02:00                                                                                                                                                                                                                                                     ;30.974;;9.0;50.25;3.0
CORDOBA                                                                                                                                                                                                                                                   ;CÓRDOBA                                                                                                                                                                                                                                                   ;AVDA. AL-NASIR                                                                                                                                                                                                                                            ;2023/02/03 00:00:00.000000000;02:00                                                                                                                                                                                                                                                     ;54.045;;36.0;;5.0
