D_PROVINCIA;D_MUNICIPIO;D_ESTACION;F_FECHA;D_HORA;'PM10';'PM25';'NO2';'O3';'SO2'
GRANADA                                                                                                                                                                                                                                                   ;ARMILLA                                                                                                                                                                                                                                                   ;CIUDAD DEPORTIVA                                                                                                                                                                                                                                          ;2023/11/24 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;31.138;;45.0;38.5;4.0
GRANADA                                                                                                                                                                                                                                                   ;GRANADA                                                                                                                                                                                                                                                   ;GRANADA-NORTE                                                                                                                                                                                                                                             ;2023/11/24 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;23.76;8.47;63.0;;5.0
GRANADA                                                                                                                                                                                                                                                   ;GRANADA                                                                                                                                                                                                                                                   ;PALACIO DE CONGRESOS                                                                                                                                                                                                                                      ;2023/11/24 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;15.9;11.788;18.0;34.0;13.0
GRANADA                                                                                                                                                                                                                                                   ;MOTRIL                                                                                                                                                                                                                                                    ;MOTRIL                                                                                                                                                                                                                                                    ;2023/11/24 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;16.351;;4.0;74.375;3.0
GRANADA                                                                                                                                                                                                                                                   ;ARMILLA                                                                                                                                                                                                                                                   ;CIUDAD DEPORTIVA                                                                                                                                                                                                                                          ;2023/11/24 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;31.932;;23.0;32.125;4.0
GRANADA                                                                                                                                                                                                                                                   ;GRANADA                                                                                                                                                                                                                                                   ;GRANADA-NORTE                                                                                                                                                                                                                                             ;2023/11/24 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;24.832;8.505;56.0;;4.0
GRANADA                                                                                                                                                                                                                                                   ;GRANADA                                                                                                                                                                                                                                                   ;PALACIO DE CONGRESOS                                                                                                                                                                                                                                      ;2023/11/24 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;15.988;11.89;13.0;30.5;13.0
GRANADA                                                                                                                                                                                                                                                   ;MOTRIL                                                                                                                                                                                                                                                    ;MOTRIL                                                                                                                                                                                                                                                    ;2023/11/24 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;16.866;;2.0;72.0;3.0
GRANADA                                                                                                                                                                                                                                                   ;ARMILLA                                                                                                                                                                                                                                                   ;CIUDAD DEPORTIVA                                                                                                                                                                                                                                          ;2023/11/24 00:00:00.000000000;02:00                                                                                                                                                                                                                                                     ;32.242;;11.0;27.125;4.0
GRANADA                                                                                                                                                                                                                                                   ;GRANADA                                                                                                                                                                                                                                                   ;GRANADA-NORTE                                                                                                                                                                                                                                             ;2023/11/24 00:00:00.000000000;02:00                                                                                                                                                                                                                                                     ;25.864;8.365;59.0;;5.0
GRANADA                                                                                                                                                                                                                                                   ;GRANADA                                                                                                                                                                                                                                                   ;PALACIO DE CONGRESOS                                                                                                                                                                                                                                      ;2023/11/24 00:00:00.000000000;02:00                                                                                                                                                                                                                                                     ;16.121;11.839;15.0;28.75;13.0
GRANADA                                                                                                                                                                                                                                                   ;MOTRIL                                                                                                                                                                                                                                                    ;MOTRIL                                                                                                                                                                                                                                                    ;2023/11/24 00:00:00.000000000;02:00                                                                                                                                                                                                                                                     ;16.823;;2.0;69.75;3.0
GRANADA                                                                                                                                                                                                                                                   ;ARMILLA                                                                                                                                                                                                                                                   ;CIUDAD DEPORTIVA                                                                                                                                                                                                                                          ;2023/11/24 00:00:00.000000000;03:00                                                                                                                                                                                                                                                     ;32.374;;17.0;24.25;4.0
