D_PROVINCIA;D_MUNICIPIO;D_ESTACION;F_FECHA;D_HORA;'PM10';'PM25';'NO2';'O3';'SO2'
JAEN                                                                                                                                                                                                                                                      ;BAILÉN                                                                                                                                                                                                                                                    ;BAILÉN                                                                                                                                                                                                                                                    ;2023/02/28 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;16.63;10.085;30.0;61.375;12.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;LAS FUENTEZUELAS                                                                                                                                                                                                                                          ;2023/02/28 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;9.0;74.5;4.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;RONDA DEL VALLE                                                                                                                                                                                                                                           ;2023/02/28 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;11.123;7.155;19.0;72.375;3.0
JAEN                                                                                                                                                                                                                                                      ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;2023/02/28 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;16.193;;6.0;75.375;
JAEN                                                                                                                                                                                                                                                      ;BAILÉN                                                                                                                                                                                                                                                    ;BAILÉN                                                                                                                                                                                                                                                    ;2023/02/28 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;17.521;10.815;27.0;52.625;18.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;LAS FUENTEZUELAS                                                                                                                                                                                                                                          ;2023/02/28 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;;8.0;71.625;3.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;RONDA DEL VALLE                                                                                                                                                                                                                                           ;2023/02/28 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;11.835;7.552;10.0;69.25;3.0
JAEN                                                                                                                                                                                                                                                      ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;2023/02/28 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;15.913;;8.0;72.0;
JAEN                                                                                                                                                                                                                                                      ;BAILÉN                                                                                                                                                                                                                                                    ;BAILÉN                                                                                                                                                                                                                                                    ;2023/02/28 00:00:00.000000000;02:00                                                                                                                                                                                                                                                     ;18.547;11.63;24.0;45.0;9.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;LAS FUENTEZUELAS                                                                                                                                                                                                                                          ;2023/02/28 00:00:00.000000000;02:00                                                                                                                                                                                                                                                     ;;;7.0;68.625;3.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;RONDA DEL VALLE                                                                                                                                                                                                                                           ;2023/02/28 00:00:00.000000000;02:00                                                                                                                                                                                                                                                     ;12.39;7.729;9.0;65.875;3.0
JAEN                                                                                                                                                                                                                                                      ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;2023/02/28 00:00:00.000000000;02:00                                                                                                                                                                                                                                                     ;15.633;;6.0;68.375;
JAEN                                                                                                                                                                                                                                                      ;BAILÉN                                                                                                                                                                                                                                                    ;BAILÉN                                                                                                                                                                                                                                                    ;2023/02/28 00:00:00.000000000;03:00                                                                                                                                                                                                                                                     ;19.305;12.36;19.0;39.375;13.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;LAS FUENTEZUELAS                                                                                                                                                                                                                                          ;2023/02/28 00:00:00.000000000;03:00                                                                                                                                                                                                                                                     ;;;9.0;65.0;3.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;RONDA DEL VALLE                                                                                                                                                                                                                                           ;2023/02/28 00:00:00.000000000;03:00                                                                                                                                                                                                                                                     ;12.627;7.818;9.0;62.75;3.0
JAEN                                                                                                                                                                                                                                                      ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;2023/02/28 00:00:00.000000000;03:00                                                                                                                                                                                                                                                     ;15.493;;6.0;65.375;
JAEN                                                                                                                                                                                                                                                      ;BAILÉN                                                                                                                                                                                                                                                    ;BAILÉN                                                                                                                                                                                                                                                    ;2023/02/28 00:00:00.000000000;04:00                                                                                                                                                                                                                                                     ;19.973;13.047;8.0;37.875;10.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;LAS FUENTEZUELAS                                                                                                                                                                                                                                          ;2023/02/28 00:00:00.000000000;04:00                                                                                                                                                                                                                                                     ;;;6.0;64.25;3.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;RONDA DEL VALLE                                                                                                                                                                                                                                           ;2023/02/28 00:00:00.000000000;04:00                                                                                                                                                                                                                                                     ;12.746;7.862;9.0;58.5;3.0
JAEN                                                                                                                                                                                                                                                      ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;2023/02/28 00:00:00.000000000;04:00                                                                                                                                                                                                                                                     ;15.447;;6.0;64.375;
JAEN                                                                                                                                                                                                                                                      ;BAILÉN                                                                                                                                                                                                                                                    ;BAILÉN                                                                                                                                                                                                                                                    ;2023/02/28 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;20.553;13.519;17.0;38.375;10.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;LAS FUENTEZUELAS                                                                                                                                                                                                                                          ;2023/02/28 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;;;4.0;67.75;3.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;RONDA DEL VALLE                                                                                                                                                                                                                                           ;2023/02/28 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;12.785;7.994;7.0;57.625;3.0
JAEN                                                                                                                                                                                                                                                      ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;2023/02/28 00:00:00.000000000;05:00                                                                                                                                                                                                                                                     ;15.54;;6.0;64.375;
JAEN                                                                                                                                                                                                                                                      ;BAILÉN                                                                                                                                                                                                                                                    ;BAILÉN                                                                                                                                                                                                                                                    ;2023/02/28 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;21.4;13.991;18.0;37.5;15.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;LAS FUENTEZUELAS                                                                                                                                                                                                                                          ;2023/02/28 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;;;4.0;68.125;3.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;RONDA DEL VALLE                                                                                                                                                                                                                                           ;2023/02/28 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;12.865;8.082;6.0;59.75;3.0
JAEN                                                                                                                                                                                                                                                      ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;2023/02/28 00:00:00.000000000;06:00                                                                                                                                                                                                                                                     ;15.727;;11.0;61.875;
JAEN                                                                                                                                                                                                                                                      ;BAILÉN                                                                                                                                                                                                                                                    ;BAILÉN                                                                                                                                                                                                                                                    ;2023/02/28 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;22.247;14.463;23.0;36.375;15.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;LAS FUENTEZUELAS                                                                                                                                                                                                                                          ;2023/02/28 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;;;5.0;70.5;4.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;RONDA DEL VALLE                                                                                                                                                                                                                                           ;2023/02/28 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;13.023;8.082;7.0;63.5;3.0
JAEN                                                                                                                                                                                                                                                      ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;2023/02/28 00:00:00.000000000;07:00                                                                                                                                                                                                                                                     ;16.333;;19.0;58.25;
JAEN                                                                                                                                                                                                                                                      ;BAILÉN                                                                                                                                                                                                                                                    ;BAILÉN                                                                                                                                                                                                                                                    ;2023/02/28 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;23.495;14.935;31.0;35.125;17.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;LAS FUENTEZUELAS                                                                                                                                                                                                                                          ;2023/02/28 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;;;8.0;69.375;3.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;RONDA DEL VALLE                                                                                                                                                                                                                                           ;2023/02/28 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;13.102;8.082;11.0;63.75;3.0
JAEN                                                                                                                                                                                                                                                      ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;2023/02/28 00:00:00.000000000;08:00                                                                                                                                                                                                                                                     ;17.08;;21.0;54.5;
JAEN                                                                                                                                                                                                                                                      ;BAILÉN                                                                                                                                                                                                                                                    ;BAILÉN                                                                                                                                                                                                                                                    ;2023/02/28 00:00:00.000000000;09:00                                                                                                                                                                                                                                                     ;24.788;15.622;26.0;36.0;11.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;LAS FUENTEZUELAS                                                                                                                                                                                                                                          ;2023/02/28 00:00:00.000000000;09:00                                                                                                                                                                                                                                                     ;;;9.0;68.125;4.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;RONDA DEL VALLE                                                                                                                                                                                                                                           ;2023/02/28 00:00:00.000000000;09:00                                                                                                                                                                                                                                                     ;13.023;8.038;18.0;60.375;3.0
JAEN                                                                                                                                                                                                                                                      ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;2023/02/28 00:00:00.000000000;09:00                                                                                                                                                                                                                                                     ;17.827;;21.0;51.875;
JAEN                                                                                                                                                                                                                                                      ;BAILÉN                                                                                                                                                                                                                                                    ;BAILÉN                                                                                                                                                                                                                                                    ;2023/02/28 00:00:00.000000000;10:00                                                                                                                                                                                                                                                     ;25.546;16.308;14.0;38.625;9.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;LAS FUENTEZUELAS                                                                                                                                                                                                                                          ;2023/02/28 00:00:00.000000000;10:00                                                                                                                                                                                                                                                     ;;;4.0;67.75;4.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;RONDA DEL VALLE                                                                                                                                                                                                                                           ;2023/02/28 00:00:00.000000000;10:00                                                                                                                                                                                                                                                     ;13.142;8.171;10.0;59.625;4.0
JAEN                                                                                                                                                                                                                                                      ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;2023/02/28 00:00:00.000000000;10:00                                                                                                                                                                                                                                                     ;18.34;;7.0;50.375;
JAEN                                                                                                                                                                                                                                                      ;BAILÉN                                                                                                                                                                                                                                                    ;BAILÉN                                                                                                                                                                                                                                                    ;2023/02/28 00:00:00.000000000;11:00                                                                                                                                                                                                                                                     ;25.903;16.866;9.0;41.375;5.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;LAS FUENTEZUELAS                                                                                                                                                                                                                                          ;2023/02/28 00:00:00.000000000;11:00                                                                                                                                                                                                                                                     ;;;4.0;69.0;4.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;RONDA DEL VALLE                                                                                                                                                                                                                                           ;2023/02/28 00:00:00.000000000;11:00                                                                                                                                                                                                                                                     ;13.26;8.259;6.0;60.25;4.0
JAEN                                                                                                                                                                                                                                                      ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;2023/02/28 00:00:00.000000000;11:00                                                                                                                                                                                                                                                     ;18.667;;5.0;50.25;
JAEN                                                                                                                                                                                                                                                      ;BAILÉN                                                                                                                                                                                                                                                    ;BAILÉN                                                                                                                                                                                                                                                    ;2023/02/28 00:00:00.000000000;12:00                                                                                                                                                                                                                                                     ;25.858;17.081;6.0;43.625;4.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;LAS FUENTEZUELAS                                                                                                                                                                                                                                          ;2023/02/28 00:00:00.000000000;12:00                                                                                                                                                                                                                                                     ;;;5.0;70.625;4.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;RONDA DEL VALLE                                                                                                                                                                                                                                           ;2023/02/28 00:00:00.000000000;12:00                                                                                                                                                                                                                                                     ;13.34;8.392;7.0;64.125;4.0
JAEN                                                                                                                                                                                                                                                      ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;2023/02/28 00:00:00.000000000;12:00                                                                                                                                                                                                                                                     ;19.133;;4.0;52.25;
JAEN                                                                                                                                                                                                                                                      ;BAILÉN                                                                                                                                                                                                                                                    ;BAILÉN                                                                                                                                                                                                                                                    ;2023/02/28 00:00:00.000000000;13:00                                                                                                                                                                                                                                                     ;25.814;16.952;5.0;48.25;4.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;LAS FUENTEZUELAS                                                                                                                                                                                                                                          ;2023/02/28 00:00:00.000000000;13:00                                                                                                                                                                                                                                                     ;;;4.0;71.25;4.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;RONDA DEL VALLE                                                                                                                                                                                                                                           ;2023/02/28 00:00:00.000000000;13:00                                                                                                                                                                                                                                                     ;13.458;8.524;5.0;66.875;3.0
JAEN                                                                                                                                                                                                                                                      ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;2023/02/28 00:00:00.000000000;13:00                                                                                                                                                                                                                                                     ;19.553;;5.0;54.25;
JAEN                                                                                                                                                                                                                                                      ;BAILÉN                                                                                                                                                                                                                                                    ;BAILÉN                                                                                                                                                                                                                                                    ;2023/02/28 00:00:00.000000000;14:00                                                                                                                                                                                                                                                     ;25.725;16.952;5.0;52.875;4.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;LAS FUENTEZUELAS                                                                                                                                                                                                                                          ;2023/02/28 00:00:00.000000000;14:00                                                                                                                                                                                                                                                     ;;;4.0;73.125;3.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;RONDA DEL VALLE                                                                                                                                                                                                                                           ;2023/02/28 00:00:00.000000000;14:00                                                                                                                                                                                                                                                     ;13.538;8.568;5.0;70.0;3.0
JAEN                                                                                                                                                                                                                                                      ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;2023/02/28 00:00:00.000000000;14:00                                                                                                                                                                                                                                                     ;19.787;;4.0;58.5;
JAEN                                                                                                                                                                                                                                                      ;BAILÉN                                                                                                                                                                                                                                                    ;BAILÉN                                                                                                                                                                                                                                                    ;2023/02/28 00:00:00.000000000;15:00                                                                                                                                                                                                                                                     ;25.546;16.952;5.0;59.125;4.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;LAS FUENTEZUELAS                                                                                                                                                                                                                                          ;2023/02/28 00:00:00.000000000;15:00                                                                                                                                                                                                                                                     ;;;4.0;75.625;4.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;RONDA DEL VALLE                                                                                                                                                                                                                                           ;2023/02/28 00:00:00.000000000;15:00                                                                                                                                                                                                                                                     ;13.617;8.657;5.0;73.125;4.0
JAEN                                                                                                                                                                                                                                                      ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;VILLANUEVA DEL ARZOBISPO                                                                                                                                                                                                                                  ;2023/02/28 00:00:00.000000000;15:00                                                                                                                                                                                                                                                     ;19.973;;4.0;64.625;
JAEN                                                                                                                                                                                                                                                      ;BAILÉN                                                                                                                                                                                                                                                    ;BAILÉN                                                                                                                                                                                                                                                    ;2023/02/28 00:00:00.000000000;16:00                                                                                                                                                                                                                                                     ;25.412;16.866;5.0;66.875;4.0
JAEN                                                                                                                                                                                                                                                      ;JAÉN                                                                                                                                                                                                                                                      ;LAS FUENTEZUELAS                                                                                                                                                                                                                                          ;2023/02/28 00:00:00.000000000;16:00                                                                                                                                                                                                                                                     ;;;3.0;79.0;4.0
