D_PROVINCIA;D_MUNICIPIO;D_ESTACION;F_FECHA;D_HORA;'PM10';'PM25';'NO2';'O3';'SO2'
MALAGA                                                                                                                                                                                                                                                    ;CAMPILLOS                                                                                                                                                                                                                                                 ;CAMPILLOS                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;4.541;5.0;111.25;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;AVENIDA JUAN XXIII                                                                                                                                                                                                                                        ;2023/03/05 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;30.795;;39.0;;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;CAMPANILLAS                                                                                                                                                                                                                                               ;2023/03/05 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;17.097;10.7;11.0;94.25;6.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;CARRANQUE                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;23.357;9.5;22.0;93.375;3.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;EL ATABAL                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;16.53;;12.0;100.625;4.0
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;MÁLAGA-ESTE                                                                                                                                                                                                                                               ;2023/03/05 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;6.0;107.625;1.0
MALAGA                                                                                                                                                                                                                                                    ;MARBELLA                                                                                                                                                                                                                                                  ;MARBELLA ARCO                                                                                                                                                                                                                                             ;2023/03/05 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;23.0;84.25;4.0
MALAGA                                                                                                                                                                                                                                                    ;CAMPILLOS                                                                                                                                                                                                                                                 ;CAMPILLOS                                                                                                                                                                                                                                                 ;2023/03/05 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;4.62;5.0;110.625;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;AVENIDA JUAN XXIII                                                                                                                                                                                                                                        ;2023/03/05 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;30.881;;38.0;;
MALAGA                                                                                                                                                                                                                                                    ;MÁLAGA                                                                                                                                                                                                                                                    ;CAMPANILLAS                                                                                                                                                                                                                                               ;2023/03/05 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;17.327;10.667;13.0;89.25;6.0
