D_PROVINCIA;D_MUNICIPIO;D_ESTACION;F_FECHA;D_HORA;'PM10';'PM25';'NO2';'O3';'SO2'
SEVILLA                                                                                                                                                                                                                                                   ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;2023/03/17 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;28.311;;6.0;93.125;4.0
SEVILLA                                                                                                                                                                                                                                                   ;DOS HERMANAS                                                                                                                                                                                                                                              ;DOS HERMANAS                                                                                                                                                                                                                                              ;2023/03/17 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;12.0;88.625;3.0
SEVILLA                                                                                                                                                                                                                                                   ;GUILLENA                                                                                                                                                                                                                                                  ;COBRE LAS CRUCES                                                                                                                                                                                                                                          ;2023/03/17 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;14.939;;8.0;83.0;2.0
SEVILLA                                                                                                                                                                                                                                                   ;MAIRENA DEL ALJARAFE                                                                                                                                                                                                                                      ;ALJARAFE                                                                                                                                                                                                                                                  ;2023/03/17 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;22.185;;4.0;96.5;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SAN NICOLÁS DEL PUERTO                                                                                                                                                                                                                                    ;SIERRA NORTE                                                                                                                                                                                                                                              ;2023/03/17 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;12.996;8.653;3.0;112.75;5.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;BERMEJALES                                                                                                                                                                                                                                                ;2023/03/17 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;27.598;;12.0;71.375;5.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;CENTRO                                                                                                                                                                                                                                                    ;2023/03/17 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;2.0;87.75;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;PRÍNCIPES                                                                                                                                                                                                                                                 ;2023/03/17 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;29.87;;8.0;;7.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;RANILLA                                                                                                                                                                                                                                                   ;2023/03/17 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;9.098;14.0;;4.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SAN JERÓNIMO                                                                                                                                                                                                                                              ;2023/03/17 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;;;;89.5;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;SANTA CLARA                                                                                                                                                                                                                                               ;2023/03/17 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;28.033;10.335;9.0;94.875;
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;TORNEO                                                                                                                                                                                                                                                    ;2023/03/17 00:00:00.000000000;00:00                                                                                                                                                                                                                                                     ;25.532;8.757;;76.143;
SEVILLA                                                                                                                                                                                                                                                   ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;ALCALÁ DE GUADAÍRA                                                                                                                                                                                                                                        ;2023/03/17 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;28.638;;6.0;89.5;4.0
SEVILLA                                                                                                                                                                                                                                                   ;DOS HERMANAS                                                                                                                                                                                                                                              ;DOS HERMANAS                                                                                                                                                                                                                                              ;2023/03/17 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;;;5.0;84.75;3.0
SEVILLA                                                                                                                                                                                                                                                   ;GUILLENA                                                                                                                                                                                                                                                  ;COBRE LAS CRUCES                                                                                                                                                                                                                                          ;2023/03/17 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;15.956;;6.0;79.125;2.0
SEVILLA                                                                                                                                                                                                                                                   ;MAIRENA DEL ALJARAFE                                                                                                                                                                                                                                      ;ALJARAFE                                                                                                                                                                                                                                                  ;2023/03/17 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;21.943;;4.0;91.375;3.0
SEVILLA                                                                                                                                                                                                                                                   ;SAN NICOLÁS DEL PUERTO                                                                                                                                                                                                                                    ;SIERRA NORTE                                                                                                                                                                                                                                              ;2023/03/17 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;13.274;8.749;3.0;111.375;5.0
SEVILLA                                                                                                                                                                                                                                                   ;SEVILLA                                                                                                                                                                                                                                                   ;BERMEJALES                                                                                                                                                                                                                                                ;2023/03/17 00:00:00.000000000;01:00                                                                                                                                                                                                                                                     ;26.873;;8.0;66.5;5.0
